query_id,model,dataset,query_text,query_type,latency_ms,is_cached,intent,num_products,has_citation,citation_count,has_hallucination,price_match,category_match,price_filter_ok,judge_score,faithfulness_score,relevance_score,overall_score,timestamp
laptop_01,gemma2:9b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu cho lap trinh,product_search,12127.690000110306,False,product_search,5,True,3,False,False,True,True,2.0,0.8,0.7,0.6987230999988969,2026-05-23T16:51:56.507740
laptop_02,gemma2:9b,synthetic_large,MacBook Pro M3 co gi moi? Gia bao nhieu?,product_search,14932.75169993285,False,product_search,5,False,0,False,False,True,True,3.0,0.4,0.8,0.5906724830006715,2026-05-23T16:52:47.283309
laptop_03,gemma2:9b,synthetic_large,Laptop gaming RTX 4070 gia tu 35 den 45 trieu,product_search,16347.583000082523,False,product_search,4,True,3,False,False,True,True,4.0,0.8,0.9,0.7365241699991748,2026-05-23T16:53:35.798628
phone_01,gemma2:9b,synthetic_large,Tim dien thoai Samsung gia khoang 15 trieu,product_search,16063.366700080223,False,product_search,2,True,2,False,False,False,True,1.0,0.8,0.3,0.49936633299919775,2026-05-23T16:54:22.981724
phone_02,gemma2:9b,synthetic_large,iPhone 15 Pro Max co nhung mau nao? Gia bao nhieu?,product_search,15996.213100035675,False,product_search,5,False,0,False,True,False,True,2.0,0.6000000000000001,0.4,0.4800378689996433,2026-05-23T16:55:13.193047
phone_03,gemma2:9b,synthetic_large,Dien thoai chup anh dep gia duoi 10 trieu,semantic,19339.686000021175,False,product_search,5,True,3,False,True,False,True,1.6666666666666667,1.0,0.3666666666666667,0.553269806666455,2026-05-23T16:56:06.382722
fashion_men_01,gemma2:9b,synthetic_large,Ao polo nam cotton cao cap gia duoi 500k,product_search,13526.094499975443,False,product_search,5,True,3,False,False,True,True,4.0,0.8,0.9,0.7647390550002455,2026-05-23T16:56:48.738614
fashion_men_02,gemma2:9b,synthetic_large,Giay sneaker Nike Air Force 1 size 42,product_search,13061.790199950337,False,product_search,5,True,3,False,False,True,True,3.0,0.8,0.8,0.7293820980004967,2026-05-23T16:57:37.357759
fashion_men_03,gemma2:9b,synthetic_large,Quan jean nam slim fit mau xanh dam,product_search,15640.63050004188,False,general,5,True,1,False,True,False,True,4.0,1.0,0.6000000000000001,0.6835936949995813,2026-05-23T16:58:23.540216
fashion_women_01,gemma2:9b,synthetic_large,Dam du tiec sang trong gia duoi 1 trieu,product_search,18703.74039991293,False,product_search,5,True,3,False,False,True,True,4.0,0.8,0.9,0.7129625960008708,2026-05-23T16:59:26.392930
fashion_women_02,gemma2:9b,synthetic_large,Vay cong so thanh lich cho nguoi di lam,semantic,31608.504400006495,False,general,5,True,1,False,True,True,True,3.3333333333333335,1.0,0.8333333333333334,0.6333333333333333,2026-05-23T17:00:47.775002
fashion_women_03,gemma2:9b,synthetic_large,Giay cao got nu 7cm mau den,product_search,27445.173099986278,False,general,5,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.6122149356668039,2026-05-23T17:02:04.082643
beauty_01,gemma2:9b,synthetic_large,Son moi mau do cam gia duoi 400k,product_search,17151.242100051604,False,product_search,1,True,1,False,False,True,True,4.0,0.8,0.9,0.728487578999484,2026-05-23T17:02:52.878041
beauty_02,gemma2:9b,synthetic_large,Serum vitamin C tri tham nam tot nhat,semantic,15230.744599946775,False,product_search,5,True,3,False,False,False,True,1.0,0.8,0.3,0.5076925540005323,2026-05-23T17:03:40.883269
beauty_03,gemma2:9b,synthetic_large,Kem nen che phu tot cho da dau,semantic,14276.120700058527,False,product_search,5,True,3,False,False,False,True,1.0,0.8,0.3,0.5172387929994147,2026-05-23T17:04:26.833109
beauty_04,gemma2:9b,synthetic_large,Sua rua mat Innisfree hay Senka tot hon?,semantic,18597.09669998847,False,general,5,True,3,False,False,False,True,1.0,0.8,0.3,0.4740290330001153,2026-05-23T17:05:24.646073
home_01,gemma2:9b,synthetic_large,Noi chien khong dau Philips 6 lit gia bao nhieu?,product_search,18530.758899985813,False,general,5,False,0,False,True,True,True,4.0,0.6000000000000001,0.9,0.654692411000142,2026-05-23T17:06:14.909962
home_02,gemma2:9b,synthetic_large,May pha ca phe tu dong tot nhat cho gia dinh,semantic,27426.861400017515,False,general,5,True,1,False,True,False,True,3.0,1.0,0.5,0.5257313859998248,2026-05-23T17:07:19.624985
home_03,gemma2:9b,synthetic_large,Bo noi inox cao cap gia duoi 5 trieu,product_search,15650.331699987873,False,product_search,3,True,3,False,False,False,True,3.6666666666666665,0.8,0.5666666666666667,0.610163349666788,2026-05-23T17:08:13.079009
audio_01,gemma2:9b,synthetic_large,Tai nghe chong on Sony WH-1000XM5,product_search,15978.242599987425,False,product_search,5,True,3,False,True,False,True,1.0,1.0,0.3,0.5602175740001257,2026-05-23T17:09:04.966512
audio_02,gemma2:9b,synthetic_large,Tai nghe true wireless gia duoi 2 trieu,product_search,13265.357500058599,False,product_search,4,True,2,False,True,False,True,1.0,1.0,0.3,0.587346424999414,2026-05-23T17:09:48.620488
semantic_01,gemma2:9b,synthetic_large,San pham phu hop cho nguoi di lam van phong,semantic,13438.992900075391,False,general,5,True,3,False,False,True,True,3.6666666666666665,0.8,0.8666666666666667,0.7522767376659127,2026-05-23T17:10:42.185717
semantic_02,gemma2:9b,synthetic_large,Qua tang cho ban gai dip sinh nhat,semantic,16966.684500104748,False,general,5,True,3,False,False,True,True,3.0,0.8,0.8,0.6903331549989525,2026-05-23T17:11:33.165288
