query_id,model,dataset,query_text,query_type,latency_ms,is_cached,intent,num_products,has_citation,citation_count,has_hallucination,price_match,category_match,price_filter_ok,judge_score,faithfulness_score,relevance_score,overall_score,timestamp
laptop_01,llama3.2:3b,synthetic_large,Tu van laptop Dell gia duoi 30 trieu cho lap trinh,product_search,12352.695600013249,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7364730439998676,2026-05-23T15:40:41.805999
laptop_02,llama3.2:3b,synthetic_large,MacBook Pro M3 co gi moi? Gia bao nhieu?,product_search,16445.109199965373,False,product_search,5,False,0,False,False,True,True,,0.4,0.8,0.5755489080003463,2026-05-23T15:40:59.257380
laptop_03,llama3.2:3b,synthetic_large,Laptop gaming RTX 4070 gia tu 35 den 45 trieu,product_search,13265.294500044547,False,product_search,4,False,0,False,True,True,True,,0.6000000000000001,0.8,0.6673470549995546,2026-05-23T15:41:13.525596
phone_01,llama3.2:3b,synthetic_large,Tim dien thoai Samsung gia khoang 15 trieu,product_search,9008.381000021473,False,product_search,2,True,2,False,False,False,True,,0.8,0.5,0.6499161899997852,2026-05-23T15:41:23.549429
phone_02,llama3.2:3b,synthetic_large,iPhone 15 Pro Max co nhung mau nao? Gia bao nhieu?,product_search,10038.266999996267,False,product_search,5,True,3,False,True,False,True,,1.0,0.5,0.6996173300000373,2026-05-23T15:41:34.601362
phone_03,llama3.2:3b,synthetic_large,Dien thoai chup anh dep gia duoi 10 trieu,semantic,21089.200300048105,False,product_search,5,True,3,False,True,False,True,,1.0,0.5,0.589107996999519,2026-05-23T15:41:56.692116
fashion_men_01,llama3.2:3b,synthetic_large,Ao polo nam cotton cao cap gia duoi 500k,product_search,9240.897799958475,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7675910220004153,2026-05-23T15:42:06.940579
fashion_men_02,llama3.2:3b,synthetic_large,Giay sneaker Nike Air Force 1 size 42,product_search,9615.014800103381,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7638498519989663,2026-05-23T15:42:17.571059
fashion_men_03,llama3.2:3b,synthetic_large,Quan jean nam slim fit mau xanh dam,product_search,11294.578299974091,False,general,5,True,1,False,True,False,True,,1.0,0.5,0.6870542170002591,2026-05-23T15:42:29.869634
fashion_women_01,llama3.2:3b,synthetic_large,Dam du tiec sang trong gia duoi 1 trieu,product_search,10203.013199963607,False,product_search,5,True,3,False,False,True,True,,0.8,0.8,0.7579698680003639,2026-05-23T15:42:41.089104
fashion_women_02,llama3.2:3b,synthetic_large,Vay cong so thanh lich cho nguoi di lam,semantic,11888.210800010711,False,general,5,True,1,False,True,True,True,,1.0,0.8,0.8011178919998929,2026-05-23T15:42:53.988877
fashion_women_03,llama3.2:3b,synthetic_large,Giay cao got nu 7cm mau den,product_search,12040.27130000759,False,general,5,True,1,False,False,True,True,,0.8,0.8,0.7395972869999241,2026-05-23T15:43:07.036034
beauty_01,llama3.2:3b,synthetic_large,Son moi mau do cam gia duoi 400k,product_search,7171.30529996939,False,product_search,1,True,1,False,False,True,True,,0.8,0.8,0.7882869470003062,2026-05-23T15:43:15.216395
beauty_02,llama3.2:3b,synthetic_large,Serum vitamin C tri tham nam tot nhat,semantic,9077.699200017378,False,product_search,5,True,3,False,False,False,True,,0.8,0.5,0.6492230079998262,2026-05-23T15:43:25.296570
beauty_03,llama3.2:3b,synthetic_large,Kem nen che phu tot cho da dau,semantic,11643.608499900438,False,product_search,5,True,3,False,False,False,True,,0.8,0.5,0.6235639150009956,2026-05-23T15:43:37.953907
beauty_04,llama3.2:3b,synthetic_large,Sua rua mat Innisfree hay Senka tot hon?,semantic,9580.955200013705,False,general,5,True,3,False,False,False,True,,0.8,0.5,0.644190447999863,2026-05-23T15:43:48.551191
home_01,llama3.2:3b,synthetic_large,Noi chien khong dau Philips 6 lit gia bao nhieu?,product_search,9359.997299965471,False,general,5,False,0,False,True,True,True,,0.6000000000000001,0.8,0.7064000270003453,2026-05-23T15:43:58.922634
home_02,llama3.2:3b,synthetic_large,May pha ca phe tu dong tot nhat cho gia dinh,semantic,14717.170499963686,False,general,5,True,3,False,False,False,True,,0.8,0.5,0.5928282950003632,2026-05-23T15:44:14.640506
